refrigerant,Temperature_K,Pressure_MPa,Phase,Phase_encoded,mol_weight,Tc_K,Pc_MPa,acentric,GWP,type,Tr,Pr,Density_kg_m3,Enthalpy_kJ_kg,Entropy_J_gK,Cp_J_gK
R123,458.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.002561127771819,0.02730748225013654,4.054,519.15,1.985,0.8375
R123,460.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0069391239629621,0.02730748225013654,4.0358,520.83,1.9887,0.83909
R123,462.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0113171201541056,0.02730748225013654,4.0178,522.51,1.9923,0.84067
R123,464.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0156951163452488,0.02730748225013654,3.9999,524.19,1.9959,0.84224
R123,466.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0200731125363922,0.02730748225013654,3.9822,525.88,1.9996,0.84381
R123,468.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0244511087275354,0.02730748225013654,3.9646,527.57,2.0032,0.84537
R123,470.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0288291049186788,0.02730748225013654,3.9472,529.26,2.0068,0.84693
R123,472.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.033207101109822,0.02730748225013654,3.93,530.96,2.0104,0.84848
R123,474.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0375850973009655,0.02730748225013654,3.9129,532.66,2.014,0.85003
R123,476.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0419630934921087,0.02730748225013654,3.8959,534.36,2.0176,0.85157
R123,478.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.046341089683252,0.02730748225013654,3.8792,536.06,2.0211,0.85311
R123,480.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0507190858743953,0.02730748225013654,3.8625,537.77,2.0247,0.85464
R123,482.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0550970820655385,0.02730748225013654,3.846,539.48,2.0283,0.85616
R123,484.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.059475078256682,0.02730748225013654,3.8297,541.19,2.0318,0.85768
R123,486.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0638530744478252,0.02730748225013654,3.8135,542.91,2.0353,0.85919
R123,488.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0682310706389686,0.02730748225013654,3.7974,544.63,2.0389,0.8607
R123,490.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0726090668301118,0.02730748225013654,3.7815,546.35,2.0424,0.86221
R123,492.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0769870630212552,0.02730748225013654,3.7657,548.08,2.0459,0.86371
R123,494.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0813650592123984,0.02730748225013654,3.7501,549.81,2.0494,0.8652
R123,496.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0857430554035419,0.02730748225013654,3.7345,551.54,2.0529,0.86669
R123,498.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.090121051594685,0.02730748225013654,3.7191,553.28,2.0564,0.86817
R123,500.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0944990477858285,0.02730748225013654,3.7039,555.01,2.0599,0.86965
R123,502.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.0988770439769717,0.02730748225013654,3.6888,556.75,2.0634,0.87113
R123,504.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.1032550401681152,0.02730748225013654,3.6738,558.5,2.0668,0.87259
R123,506.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.1076330363592584,0.02730748225013654,3.6589,560.24,2.0703,0.87406
R123,508.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.1120110325504018,0.02730748225013654,3.6441,561.99,2.0737,0.87552
R123,510.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.116389028741545,0.02730748225013654,3.6295,563.75,2.0772,0.87697
R123,512.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.1207670249326884,0.02730748225013654,3.615,565.5,2.0806,0.87842
R123,514.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.1251450211238316,0.02730748225013654,3.6006,567.26,2.0841,0.87987
R123,516.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.129523017314975,0.02730748225013654,3.5863,569.02,2.0875,0.88131
R123,518.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.1339010135061183,0.02730748225013654,3.5721,570.79,2.0909,0.88274
R123,520.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.1382790096972617,0.02730748225013654,3.5581,572.55,2.0943,0.88418
R123,522.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.142657005888405,0.02730748225013654,3.5441,574.32,2.0977,0.8856
R123,524.0,0.1,vapor,1,152.93,456.83,3.662,0.282,77,HCFC,1.1470350020795483,0.02730748225013654,3.5303,576.09,2.1011,0.88703
